frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.Protocol,dns.qry.name,dns.qry.type
"1","1764919033.474161592","167","20.189.173.13","192.168.10.201","443","44864",,,"TLSv1.2",,
"2","1764919033.474199325","68","192.168.10.201","20.189.173.13","44864","443",,,"TCP",,
"3","1764919033.707042493","48","192.168.10.114","239.255.255.250",,,,,"IGMPv2",,
"4","1764919033.727197234","62","192.168.10.114","239.255.255.250",,,,,"IGMPv2",,
"5","1764919033.729551981","44",,,,,,,"ARP",,
"6","1764919033.729567324","44",,,,,,,"ARP",,
"7","1764919034.785192239","68",,,,,,,"ieee1905",,
"8","1764919034.795044472","48","192.168.10.201","239.255.255.250",,,,,"IGMPv2",,
"9","1764919034.875034146","62","192.168.10.201","239.255.255.250",,,,,"IGMPv2",,
"10","1764919035.441505813","92","34.107.243.93","192.168.10.201","443","52666",,,"TLSv1.2",,
